[0.24s -> 2.24s]  Что, пишем?
[1515.71s -> 1517.71s]  Очень вкусное, очень сливочное
[1517.71s -> 1519.71s]  Потому что у нас в сливочной массе будет свинина
[1519.71s -> 1521.71s]  Будет лучок, будет картошка,
[1521.71s -> 1523.71s]  которым мы уже начистили, будет семьянчик, чесночок
[1523.71s -> 1525.71s]  В общем, очень-очень вкусно
[1525.71s -> 1527.71s]  Обязательно повторите
[1527.71s -> 1529.71s]  Мы уже разогрели казан, уже почистили лучок
[1529.71s -> 1531.71s]  Сейчас будем нарезать свинину
[1531.71s -> 1533.71s]  Нарезать будем порционными кусочками
[1533.71s -> 1535.71s]  Ну и каким-то кубиком
[1535.71s -> 1537.71s]  Как будет правильно сказать
[1537.71s -> 1539.71s]  Сначала вот так сейчас всё разделим
[1539.71s -> 1541.71s]  Сундук нам сказал, почему, говорит, вы взяли мясо
[1541.71s -> 1543.71s]  Вот, нарезаем сейчас
[1543.71s -> 1545.71s]  Потом будем всё это делить
[1545.71s -> 1547.71s]  У нас вот такая вот погода, идёт снег
[1547.71s -> 1549.71s]  Тепло, достойно
[1549.71s -> 1551.71s]  Много рыбы сегодня
[1551.71s -> 1553.71s]  Рыбалка в одно удовольствие
[1553.71s -> 1555.71s]  Так что нарезаем мясо
[1555.71s -> 1557.71s]  на порционные кусочки
[1557.71s -> 1571.78s]  Опачки
[1571.78s -> 1573.78s]  Есть и цепля
[1573.78s -> 1575.78s]  Ну и ёлки-палки
[1577.78s -> 1579.78s]  Вот только я поворачивался
[1579.78s -> 1581.78s]  Ничего не стояло
[1581.78s -> 1583.78s]  Помоги, убери леску, Егор
[1587.78s -> 1589.78s]  Честно? Пока нет
[1589.78s -> 1595.26s]  Не натягивай
[1595.26s -> 1597.26s]  Не натягивай
[1597.26s -> 1599.26s]  Отпусти её
[1599.26s -> 1601.26s]  Ты просто в сторону выкидывай и всё
[1603.26s -> 1605.26s]  Да ну может
[1605.26s -> 1607.26s]  Не очень тяжело
[1607.26s -> 1609.26s]  Двушку
[1613.34s -> 1615.34s]  Богор ты чего не взяли?
[1615.34s -> 1617.34s]  Вадим
[1617.34s -> 1619.34s]  Пусть бегает, Вадим
[1619.34s -> 1621.34s]  Макс
[1621.34s -> 1625.49s]  Макс, принеси к Богор
[1625.49s -> 1627.49s]  Отпусти её
[1627.49s -> 1631.63s]  Да, пока не вытащили
[1641.12s -> 1643.12s]  Достанешь рукой?
[1643.12s -> 1645.12s]  Да, давай
[1655.66s -> 1673.95s]  Вадим, давай быстрее
[1673.95s -> 1677.39s]  Вот так
[1677.39s -> 1679.39s]  Держи, отпусти
[1679.39s -> 1681.39s]  Ты скачил
[1681.39s -> 1683.39s]  Не про мозг
[1683.39s -> 1685.39s]  Не про мозг что ли?
[1685.39s -> 1694.53s]  Не пугай
[1694.53s -> 1696.53s]  Вот бери
[1696.53s -> 1698.53s]  Вот тебе и биба
[1698.53s -> 1700.53s]  Вот тебе и биба
[1702.53s -> 1704.53s]  Короче Паша, дай че скажу
[1704.53s -> 1706.53s]  Вон там у мужиков поклёвка была
[1706.53s -> 1708.53s]  Вот тут поклёвка произошла
[1708.53s -> 1710.53s]  У мужиков я говорю пацаны
[1710.53s -> 1712.53s]  Сейчас происходит выход щуки
[1712.53s -> 1714.53s]  Готовьтесь
[1714.53s -> 1716.53s]  И только хотел это ещё раз сказать на камеру
[1716.53s -> 1718.53s]  Не успел сказать, готовьтесь
[1718.53s -> 1720.53s]  Ну всё
[1720.53s -> 1722.53s]  Хорошая щука
[1722.53s -> 1724.53s]  Не буду ставить пацаны
[1724.53s -> 1726.53s]  Сейчас ещё Семёна приедет
[1726.53s -> 1728.53s]  Хорошая
[1728.53s -> 1730.53s]  Я че хочу сказать
[1730.53s -> 1732.53s]  Есть мелкая щука
[1732.53s -> 1734.53s]  Несколько мелких попалось
[1734.53s -> 1736.53s]  Приличная тоже присутствует
[1736.53s -> 1738.53s]  Хороший размер
[1738.53s -> 1740.53s]  Пацаны, таких наш пейник вы ловите
[1740.53s -> 1742.53s]  Блин, а железный клад
[1742.53s -> 1744.53s]  Ну понятно
[1744.53s -> 1746.53s]  Просто
[1746.53s -> 1748.53s]  Так, мясо мы нарезали
[1748.53s -> 1750.53s]  Переходим к лучку
[1750.53s -> 1752.53s]  Лучок будем резать полукольцами
[1752.53s -> 1766.72s]  Кстати, при Двери Новогодних
[1766.72s -> 1768.72s]  Праздников такое блюдо тоже
[1768.72s -> 1770.72s]  Может быть на праздничном
[1770.72s -> 1772.72s]  Стале, если вы вдруг отмечаете где-то
[1772.72s -> 1774.72s]  Загородом, вдруг там на своей какой-то даче
[1774.72s -> 1776.72s]  Загородном доме
[1776.72s -> 1778.72s]  Круто вот так вот в казане сделать
[1778.72s -> 1780.72s]  Огромное такое мясное, хорошее
[1780.72s -> 1782.72s]  Насыщенное такое немножко сливочное
[1782.72s -> 1784.72s]  Блюдо, которое точно понравится всем
[1784.72s -> 1786.72s]  Тем более под рюмочку, тем более можно это сделать
[1786.72s -> 1788.72s]  Как-то наоборот, после Нового года
[1788.72s -> 1790.72s]  Уже в течение всех этих праздничных двух недель
[1790.72s -> 1792.72s]  Собраться и кайфануть
[1792.72s -> 1794.72s]  Так, лучок перекладываем
[1794.72s -> 1796.72s]  В отдельную тарелочку
[1800.93s -> 1802.93s]  И переходим к картошке
[1804.93s -> 1806.93s]  Копра!
[1806.93s -> 1830.18s]  Эй, я забагал
[1830.18s -> 1832.18s]  Отрвала?
[1832.18s -> 1834.18s]  Че оторвала?
[1834.18s -> 1836.18s]  Я скучаю
[1836.18s -> 1842.05s]  Отрвала?
[1842.05s -> 1844.05s]  Там пацаны на стрелы было
[1844.05s -> 1846.05s]  Отрвала
[1846.05s -> 1848.05s]  Пацаны, знаешь из-за чего оторвала?
[1848.05s -> 1850.05s]  Она резко дёрнула
[1850.05s -> 1852.05s]  И вот эту жерлицу в руку мне ударила
[1852.05s -> 1854.05s]  Сюда
[1854.05s -> 1856.05s]  И оторвала
[1858.05s -> 1860.05s]  Не отфрикционилась
[1860.05s -> 1862.05s]  Да нет, отфрикционилась
[1862.05s -> 1864.05s]  Просто она дальше не пошла
[1864.05s -> 1866.05s]  Жалко
[1866.05s -> 1868.05s]  Жалко, да
[1868.05s -> 1870.05s]  Но ничего страшного
[1870.05s -> 1872.05s]  Своё мы сегодня взяли
[1872.05s -> 1874.05s]  И, я думаю, ещё будут поклёвки
[1876.05s -> 1878.05s]  Но, блин
[1878.05s -> 1880.05s]  Монстрила ударила
[1880.05s -> 1882.05s]  Мне кажется, больше было
[1882.05s -> 1884.05s]  Прямо очень большое было
[1884.05s -> 1886.05s]  По ощущениям, мне кажется, что-то
[1886.05s -> 1888.05s]  Больше, чем вот эти
[1888.05s -> 1890.05s]  Выход был, как мы прогнозировали
[1890.05s -> 1892.05s]  У мужиков два подъёма
[1892.05s -> 1894.05s]  У нас раз подъём, у нас два подъём
[1894.05s -> 1896.05s]  Может, не закончился выход
[1896.05s -> 1898.05s]  Может, ещё будет
[1898.05s -> 1900.05s]  Мамка хорошая, говорит, была
[1900.05s -> 1902.05s]  Так, переходим к картошке
[1902.05s -> 1904.05s]  К картошечку вот
[1904.05s -> 1906.05s]  Примерно вот так вот будем нарезать
[1906.05s -> 1908.05s]  Чтобы она у нас приготовилась
[1908.05s -> 1910.05s]  Проварилась, разварилась
[1910.05s -> 1912.05s]  Какая-то помельче, просто пополам, например
[1912.05s -> 1914.05s]  Какая покрупней, побольше частей
[1914.05s -> 1916.05s]  Делайте
[1916.05s -> 1918.05s]  Тем более, на природе все уже хотят покушать
[1920.05s -> 1922.05s]  Поэтому нужно
[1922.05s -> 1924.05s]  Сделать так, чтобы всё получилось быстро
[1924.05s -> 1926.05s]  Эффективно и вкусно
[1926.05s -> 1928.05s]  Так, так
[1928.05s -> 1930.05s]  Пашка
[1930.05s -> 1932.05s]  Знаешь, что?
[1932.05s -> 1934.05s]  В чем задумался?
[1934.05s -> 1936.05s]  Что-то как-то неправильно
[1936.05s -> 1938.05s]  Знаешь, мы что-то
[1938.05s -> 1940.05s]  Режем тут картошечку
[1940.05s -> 1942.05s]  Рыбалка так хорошо идёт, погода, снежок к нам
[1942.05s -> 1944.05s]  В регион пришла
[1944.05s -> 1946.05s]  А мы за подписчиков коньячку не выпили
[1946.05s -> 1948.05s]  Что думаешь?
[1948.05s -> 1950.05s]  Я думаю, это хорошая идея
[1950.05s -> 1952.05s]  Поэтому вот так вот
[1955.36s -> 1957.36s]  Звуки
[1959.36s -> 1963.06s]  Так, по-женски с очком запью
[1965.06s -> 1967.06s]  Значит, уважаемые подписчики
[1967.06s -> 1969.06s]  С наступающим вас Новый год
[1969.06s -> 1971.06s]  До него осталось совсем немножко
[1971.06s -> 1973.06s]  Готовьте вкусно
[1973.06s -> 1975.06s]  Ездите на рыбалку, смотрите наш канал
[1975.06s -> 1977.06s]  А мы для вас будем стараться
[1977.06s -> 1979.06s]  Кто там, кто смотрит, давайте так же
[1979.06s -> 1981.06s]  И еще раз
[1981.06s -> 1983.06s]  За вас
[1983.06s -> 1994.11s]  О
[1994.11s -> 1996.11s]  Продолжаем
[1996.11s -> 1998.11s]  Чувствуешь, да?
[1998.11s -> 2000.11s]  Там брит поднимается
[2000.11s -> 2002.11s]  Картошечку нарезаем
[2002.11s -> 2006.83s]  Кстати, всегда что-то
[2006.83s -> 2008.83s]  Стали какие-то языческие сайты искать
[2008.83s -> 2010.83s]  То том ямчик, то что мы там еще делали
[2010.83s -> 2012.83s]  То шурму, но мы за шурму, конечно, извиняемся
[2012.83s -> 2014.83s]  Но все равно, опять же
[2014.83s -> 2016.83s]  Просто не продумали по морозу
[2016.83s -> 2018.83s]  Что мы еще такого экзотического делали?
[2018.83s -> 2020.83s]  Что-то какие-то все подливки
[2020.83s -> 2022.83s]  Что-то там макалки, курицы
[2022.83s -> 2024.83s]  Все там это изгорели
[2024.83s -> 2026.83s]  Хочется вернуться к классике
[2026.83s -> 2028.83s]  Рано или поздно, как есть такая фраза
[2028.83s -> 2030.83s]  Ты, говорит, сначала научись
[2030.83s -> 2032.83s]  Ездить на классике, а потом
[2032.83s -> 2034.83s]  Будешь есть на чем хочешь
[2034.83s -> 2036.83s]  Вот поэтому это классика
[2036.83s -> 2038.83s]  Классика кулинарии, это картошечка
[2038.83s -> 2040.83s]  С мясцом, с лучком
[2040.83s -> 2042.83s]  Научись сначала готовить классику
[2042.83s -> 2044.83s]  Сейчас я вам одного рыбака мощного покажу
[2044.83s -> 2046.83s]  Пойдемте посмотрим
[2046.83s -> 2048.83s]  Чувак первый раз ловит в своей жизни
[2048.83s -> 2050.83s]  На балансир
[2050.83s -> 2052.83s]  По телефону просто, смотрите
[2057.42s -> 2060.74s]  Главное не спугнуть
[2060.74s -> 2062.74s]  Пускай разговаривают по телефону
[2062.74s -> 2068.99s]  Сики, сики, сики, Егор
[2076.40s -> 2078.40s]  Круто
[2082.42s -> 2087.01s]  Да-да
[2087.01s -> 2089.01s]  Слушай, ну я не знаю
[2089.01s -> 2091.01s]  С7 нахер не надо точно
[2091.01s -> 2093.01s]  Дешево там конечно
[2093.01s -> 2095.01s]  Бизнес там херня
[2095.01s -> 2097.01s]  Давай
[2097.01s -> 2100.32s]  На флот
[2100.32s -> 2102.32s]  Да-да-да
[2102.32s -> 2104.32s]  Ну оттуда в Дубай
[2104.32s -> 2106.32s]  Все
[2106.32s -> 2108.32s]  Все, давай еще просто губалки
[2108.32s -> 2110.32s]  Щуку бомблю
[2112.32s -> 2114.32s]  Он на самом деле
[2114.32s -> 2116.32s]  Он на самом деле, что так разговаривает
[2116.32s -> 2118.32s]  Снимай на камеру
[2118.32s -> 2120.32s]  Слушай
[2120.32s -> 2122.32s]  Не знаю, посмотрим
[2122.32s -> 2124.32s]  Давай сейчас с губалки вернемся
[2124.32s -> 2126.32s]  Представляете просто
[2126.32s -> 2128.32s]  На обратном стороне телефона
[2128.32s -> 2130.32s]  Человек с ним разговаривает
[2130.32s -> 2132.32s]  И не понимает, какой я сою
[2132.32s -> 2134.32s]  На аэрофлот Дубай
[2134.32s -> 2136.32s]  Все вроде про дрова разговаривает
[2136.32s -> 2138.32s]  Гиль, не понял тебя
[2138.32s -> 2140.32s]  Какой аэрофлот
[2140.32s -> 2142.32s]  Ты о чем
[2144.32s -> 2146.32s]  Пока у нас нагревается
[2146.32s -> 2148.32s]  Казанчик
[2148.32s -> 2150.32s]  Пользуюсь случаем, пока все ребята заняты
[2150.32s -> 2152.32s]  Кто жертвец проверяет
[2152.32s -> 2154.32s]  Кто на мормышку за спиной
[2154.32s -> 2156.32s]  Мормышка
[2156.32s -> 2158.32s]  Мормышка
[2158.32s -> 2160.32s]  Вот этой вот
[2160.32s -> 2162.32s]  Обратиться хочу
[2162.32s -> 2164.32s]  К нашим подписчикам
[2164.32s -> 2166.32s]  У меня в инстаграме сейчас на данный момент
[2166.32s -> 2168.32s]  93 тысяч
[2168.32s -> 2170.32s]  Мы для вас целый год старались
[2170.32s -> 2172.32s]  Надеюсь это видно
[2172.32s -> 2174.32s]  По ту сторону экрана
[2174.32s -> 2176.32s]  Хочется у вас попросить один новогодний подарок
[2176.32s -> 2178.32s]  Для любимого повара с канала
[2178.32s -> 2180.32s]  А можно сделать так
[2180.32s -> 2182.32s]  Может кто-то не подписан на мой инстаграм
[2182.32s -> 2184.32s]  Смотрите на мой инстаграм
[2184.32s -> 2186.32s]  Там был 100 тысяч
[2186.32s -> 2188.32s]  Я такой с 100 тысячами на новый год
[2188.32s -> 2190.32s]  За вас самогончик
[2190.32s -> 2192.32s]  За любое, за счастье
[2192.32s -> 2194.32s]  Чтобы мне было приятно
[2194.32s -> 2196.32s]  Сейчас появится мой инстаграм
[2196.32s -> 2198.32s]  Залетайте туда, подписывайтесь
[2198.32s -> 2200.32s]  Там эксклюзивчики всякие
[2200.32s -> 2202.32s]  Как мы на рыбалочку едем туда-сюда
[2202.32s -> 2204.32s]  Кто не подписан обязательно подписываться
[2204.32s -> 2206.32s]  На мой инстаграм
[2206.32s -> 2208.32s]  Спасибо вам заранее
[2208.32s -> 2210.32s]  Казан разогрелся
[2210.32s -> 2212.32s]  Нашу свинину
[2212.32s -> 2214.32s]  Нужно свинину закрепить
[2214.32s -> 2216.32s]  Чтобы появился золотистый корочек
[2216.32s -> 2218.32s]  Потом оттуда ее изымаем
[2218.32s -> 2220.32s]  Убираем ее в отдельную тарелочку
[2220.32s -> 2222.32s]  Отправляем картошечки со сливочным маслом
[2222.32s -> 2224.32s]  С луком
[2224.32s -> 2226.32s]  В самом конце мы добавляем чесночок, семьян, перчик, соль
[2226.32s -> 2228.32s]  И потом просто едим и кайфуем
[2228.32s -> 2230.32s]  Так что ждем
[2230.32s -> 2232.32s]  Надо русскую литературу сказать
[2232.32s -> 2236.08s]  Народное читать
[2236.08s -> 2238.08s]  Надо походу брать пока
[2238.08s -> 2271.98s]  Ты пару по башке мне не дали
[2271.98s -> 2275.81s]  Хотя у Назар так же было
[2275.81s -> 2277.81s]  Сидели, ждали, ждали
[2279.81s -> 2281.81s]  А я сейчас это
[2281.81s -> 2283.81s]  По-мужски сделаю
[2283.81s -> 2285.81s]  Что-то эти работают, Петровы в основном
[2285.81s -> 2287.81s]  Потому что у них на рать прикольные стоят
[2287.81s -> 2289.81s]  Ключки
[2289.81s -> 2291.81s]  Я сейчас это
[2291.81s -> 2293.81s]  Она ток потянет
[2293.81s -> 2297.95s]  Я же в руках ее держу
[2297.95s -> 2299.95s]  Нормально у тебя кадр, да?
[2299.95s -> 2301.95s]  Что-то нет
[2301.95s -> 2303.95s]  Там тяжело, да?
[2303.95s -> 2305.95s]  Нет?
[2305.95s -> 2309.52s]  Нет
[2309.52s -> 2311.52s]  Живчик
[2311.52s -> 2313.52s]  Целый
[2313.52s -> 2315.52s]  Живец целый
[2315.52s -> 2317.52s]  Следов
[2317.52s -> 2319.52s]  Слушай, да и следов-то нет
[2319.52s -> 2321.52s]  Помазала что-нибудь
[2321.52s -> 2323.52s]  Ударила, живец не очень хорошо насажен
[2323.52s -> 2325.52s]  По-моему
[2325.52s -> 2327.52s]  Ну нормально
[2327.52s -> 2329.52s]  Живой живец?
[2329.52s -> 2331.52s]  Пускай
[2331.52s -> 2336.88s]  Так, двигаемся дальше
[2336.88s -> 2338.88s]  Отправляем в казан
[2338.88s -> 2340.88s]  Пачечку сливочного масляца
[2342.88s -> 2344.88s]  Дадим ему
[2344.88s -> 2346.88s]  Немножечку
[2346.88s -> 2348.88s]  Подтаять
[2348.88s -> 2354.43s]  Все
[2354.43s -> 2356.43s]  Сливочное масло
[2356.43s -> 2358.43s]  Вот целое, да?
[2358.43s -> 2360.43s]  А сколько будет подтаять
[2360.43s -> 2362.43s]  И сюда же отправляем учет
[2362.43s -> 2364.43s]  Пока Максим
[2364.43s -> 2368.00s]  Сидит в телефоне
[2368.00s -> 2370.00s]  Сейчас в крысу попробуем мягко
[2370.00s -> 2372.00s]  Вот
[2372.00s -> 2375.95s]  Нормально, нормально
[2375.95s -> 2377.95s]  Дальше картошки
[2377.95s -> 2379.95s]  Все, взяла Максим картошку
[2379.95s -> 2381.95s]  Спасибо
[2381.95s -> 2383.95s]  Так, двигаемся дальше
[2383.95s -> 2385.95s]  Нам понадобится тимьянчик
[2385.95s -> 2387.95s]  Понадобится красный острый перчик
[2387.95s -> 2389.95s]  Без этого уже мы никуда
[2389.95s -> 2391.95s]  Мы его сразу мелко нарезаем
[2391.95s -> 2393.95s]  Вот так нарезаем острый красный перчик
[2395.95s -> 2397.95s]  Который пойдет туда в казан
[2397.95s -> 2399.95s]  Красно
[2399.95s -> 2401.95s]  Хоп-хоп-хоп
[2401.95s -> 2403.95s]  Больше, я думаю, нам не надо
[2403.95s -> 2405.95s]  Отправляем его в казанчик
[2405.95s -> 2407.95s]  Все, остренько
[2407.95s -> 2409.95s]  Дальше отправляем туда
[2409.95s -> 2411.95s]  Обратно наше мясо
[2411.95s -> 2413.95s]  Дальше отправляем туда
[2413.95s -> 2415.95s]  Тимьянчику
[2415.95s -> 2417.95s]  Тимьянчику так вот отправляем
[2417.95s -> 2419.95s]  Сюда
[2419.95s -> 2421.95s]  Вы не представляете
[2421.95s -> 2423.95s]  Какой сейчас аромат отсюда раздается
[2423.95s -> 2425.95s]  Перемешиваем
[2425.95s -> 2427.95s]  Перемешиваем
[2427.95s -> 2429.95s]  С тимьянчиком, с красным перчиком
[2429.95s -> 2431.95s]  С лучком
[2431.95s -> 2433.95s]  Опять
[2433.95s -> 2435.95s]  Посволь еще попозже
[2435.95s -> 2437.95s]  Чуть-чуть попробуем
[2437.95s -> 2439.95s]  Теперь нужно все это завести
[2439.95s -> 2444.03s]  До готовности
[2444.03s -> 2449.65s]  Здорово
[2449.65s -> 2451.65s]  А сколько это?
[2451.65s -> 2453.65s]  2,7
[2453.65s -> 2455.65s]  Мы ездили там на пруды
[2455.65s -> 2457.65s]  Но они в разы меньше были
[2457.65s -> 2459.65s]  Они были как вот эти
[2459.65s -> 2461.65s]  Что-то сейчас подуспокоилось
[2461.65s -> 2463.65s]  Погода поспокоилась
[2463.65s -> 2465.65s]  Прекратили успокоить
[2465.65s -> 2467.65s]  Но были еще холосты, две оборвало
[2467.65s -> 2475.44s]  У нас загар, пацаны
[2475.44s -> 2477.44s]  Семен, пойдем доставай
[2495.86s -> 2497.86s]  Есть, есть, есть там рыба
[2497.86s -> 2502.96s]  Она сейчас крутилась
[2502.96s -> 2504.96s]  Что делаем?
[2504.96s -> 2512.18s]  Она нормально размотала
[2514.18s -> 2516.18s]  Да хвост на рандаре
[2516.18s -> 2518.18s]  Отменяем
[2518.18s -> 2522.00s]  Зацепила и мимо
[2522.00s -> 2524.00s]  На столе прибежал все остальные
[2526.00s -> 2528.00s]  Пацаны, обед по расписанию
[2528.00s -> 2530.00s]  Так, ничего могу сказать
[2530.00s -> 2534.85s]  Попробуем
[2534.85s -> 2536.85s]  Попробуем
[2536.85s -> 2538.85s]  Попробуем
[2538.85s -> 2540.85s]  Попробуем
[2540.85s -> 2542.85s]  Попробуем
[2542.85s -> 2544.85s]  Так, ничего могу сказать
[2544.85s -> 2546.85s]  Максим, как обычно, царь бог на кухне
[2546.85s -> 2548.85s]  Приготовил, но
[2550.85s -> 2552.85s]  Немного обидел меня
[2552.85s -> 2554.85s]  Слишком остро сделал
[2554.85s -> 2556.85s]  За тепло порадовал, да?
[2556.85s -> 2558.85s]  Вкусно, вкусно, но
[2558.85s -> 2560.85s]  Как тепло может порадовать
[2560.85s -> 2562.85s]  Просто можно сделать не так остро
[2562.85s -> 2564.85s]  А он просто себе добавит потом
[2564.85s -> 2566.85s]  Очень вкусно для меня
[2568.85s -> 2570.85s]  Я даже немножко все сам поперчил бы
[2570.85s -> 2572.85s]  Вкусно, вкусно
[2572.85s -> 2574.85s]  Да, я здесь сливочное масло все делаю
[2574.85s -> 2576.85s]  Конечно, конечно
[2584.45s -> 2586.45s]  Сколько теплый?
[2586.45s -> 2588.45s]  2500
[2588.45s -> 2590.45s]  А как парень теплого?
[2590.45s -> 2592.45s]  А какой яблочек?
[2592.45s -> 2594.45s]  Ты вот этот вот
[2594.45s -> 2596.45s]  Давай здесь
[2596.45s -> 2598.45s]  Я вам сейчас покажу как в рейтинге
[2598.45s -> 2600.45s]  Выходи дальше
[2600.45s -> 2602.45s]  Ты сломал?
[2602.45s -> 2604.45s]  Нет, это специальный крюк
[2604.45s -> 2606.45s]  Это мой, да, вот этот?
[2606.45s -> 2608.45s]  Да, да
[2608.45s -> 2610.45s]  2445
[2610.45s -> 2612.45s]  Назарская
[2612.45s -> 2614.45s]  Давай вот эту
[2614.45s -> 2616.45s]  2700
[2616.45s -> 2618.45s]  2700 ровно
[2618.45s -> 2620.45s]  2700
[2620.45s -> 2622.45s]  Давай
[2622.45s -> 2624.45s]  Теплую мою вот эту
[2624.45s -> 2626.45s]  Полтора
[2626.45s -> 2628.45s]  Да, полтора
[2628.45s -> 2630.45s]  Ну ты подтягивайся, братик, давай тоже
[2630.45s -> 2632.45s]  Да и у меня бревно сорвалось
[2632.45s -> 2634.45s]  600
[2634.45s -> 2636.45s]  700
[2636.45s -> 2640.53s]  0,7
[2640.53s -> 2642.53s]  Как не крути
[2642.53s -> 2644.53s]  Мы всегда отпускаем
[2644.53s -> 2646.53s]  Живца, который у нас остается
[2646.53s -> 2648.53s]  Мы его покупаем
[2648.53s -> 2650.53s]  Мы всегда его отпускаем
[2650.53s -> 2652.53s]  Потому что он заслужил
[2652.53s -> 2654.53s]  Свою отработал
[2654.53s -> 2656.53s]  И плюс ему удачу повернул
[2656.53s -> 2658.53s]  И значит фартовый живец
[2658.53s -> 2660.53s]  Потому что когда вот так руку туда засовываешь
[2660.53s -> 2662.53s]  Для того чтобы зацепить его на крючок
[2662.53s -> 2664.53s]  И не попадаться в руку
[2664.53s -> 2666.53s]  Значит, видишь, самые лодки уходят
[2666.53s -> 2668.53s]  Ну конечно их тут возможно все
[2668.53s -> 2670.53s]  Но все равно
[2670.53s -> 2672.53s]  Живут и те
[2672.53s -> 2674.53s]  Вот пошел один
[2674.53s -> 2676.53s]  Это они в магазине были?
[2676.53s -> 2678.53s]  Вот же у них судьба, да?
[2678.53s -> 2680.53s]  Их сначала поймали
[2680.53s -> 2682.53s]  Потом в магазин
[2682.53s -> 2684.53s]  Везли потом на Ниве
[2684.53s -> 2686.53s]  Так, ну что
[2686.53s -> 2688.53s]  Это третья наша рыбалка на Жерлице
[2688.53s -> 2690.53s]  И третья наша рыбалка в этом сезоне
[2690.53s -> 2692.53s]  Ну у них удачная
[2692.53s -> 2694.53s]  Пока мы вообще просто люто идем
[2694.53s -> 2696.53s]  Сегодня гипер удачная
[2696.53s -> 2698.53s]  Ну да, да
[2698.53s -> 2700.53s]  Сегодня у нас прям хорошая
[2700.53s -> 2702.53s]  Три хорошие щуки
[2702.53s -> 2704.53s]  Две поменьше были обрывы
[2704.53s -> 2706.53s]  У меня прям вообще там
[2706.53s -> 2708.53s]  На тонну 200 что-то обрывало
[2708.53s -> 2710.53s]  Самое главное событие
[2710.53s -> 2712.53s]  Которое сегодня у нас
[2712.53s -> 2714.53s]  Свершилось наконец на рыбалке
[2714.53s -> 2716.53s]  Егор поймал эту щуку наконец
[2716.53s -> 2718.53s]  Спасибо
[2718.53s -> 2720.53s]  Спасибо
[2720.53s -> 2722.53s]  Пойдем подбрасывать Егору
[2722.53s -> 2724.53s]  Так, ну что, Максим
[2724.53s -> 2726.53s]  Рассказывай, что приготовил
[2726.53s -> 2728.53s]  Нам всем понравилось все, Максим
[2728.53s -> 2730.53s]  Да вкусно, вкусно
[2730.53s -> 2732.53s]  Они все видели
[2732.53s -> 2734.53s]  Обязательно повторить на новогодних праздниках
[2734.53s -> 2736.53s]  Соберите своих друзей
[2736.53s -> 2738.53s]  Возьмите пивко холодное
[2738.53s -> 2740.53s]  И приготовьте это блюдо
[2740.53s -> 2742.53s]  Обязательно понравится
[2742.53s -> 2744.53s]  Если вам не нравится острое
[2744.53s -> 2746.53s]  Не добавляйте
[2746.53s -> 2748.53s]  Еще помимо Егора
[2748.53s -> 2750.53s]  То есть мы с Егором идем нос в нос
[2750.53s -> 2752.53s]  Так что Егор
[2752.53s -> 2754.53s]  Ты побаивайся там
[2754.53s -> 2756.53s]  Сейчас еще раз, если я отойду, то я тебя обгоню
[2756.53s -> 2758.53s]  Ну чтобы мой кент был выше меня
[2758.53s -> 2760.53s]  Поэтому пусть ловит
[2760.53s -> 2762.53s]  А я буду готовить
[2762.53s -> 2764.53s]  Ну что я могу сказать
[2764.53s -> 2766.53s]  Потрясающая щука
[2766.53s -> 2768.53s]  Классно, эмоции
[2768.53s -> 2770.53s]  Багон
[2770.53s -> 2772.53s]  Подписывайтесь на канал
[2772.53s -> 2774.53s]  Зажимайте сохранение
[2774.53s -> 2776.53s]  Процедуры
[2776.53s -> 2778.53s]  Интернет-видосовские
[2778.53s -> 2780.53s]  Соблюдайте
[2780.53s -> 2782.53s]  Я напоминать вам уже не должен
[2782.53s -> 2784.53s]  Сразу, сходу
[2784.53s -> 2786.53s]  Комментарии, подписки, колокольчик
[2786.53s -> 2788.53s]  Если подписаны, подпишись
[2788.53s -> 2790.53s]  Все это властно делайте
[2790.53s -> 2792.53s]  Пожалуйста
[2792.53s -> 2794.53s]  Мужчина
[2794.53s -> 2796.53s]  Сигарета привез
[2796.53s -> 2798.53s]  Пацанам прям к столу успел
[2798.53s -> 2800.53s]  Мне кажется, что ваши подписчики
[2800.53s -> 2802.53s]  Считают, что зарегистрировался
[2802.53s -> 2804.53s]  Просто посмотреть
[2804.53s -> 2806.53s]  Это не падла
[2806.53s -> 2808.53s]  Зарегистрироваться
[2808.53s -> 2810.53s]  Номер свой писать
[2810.53s -> 2812.53s]  Потом еще деньги спишут
[2812.53s -> 2814.53s]  Ладно, я шучу
