[0.00s -> 0.76s]  Алдов рэпером
[832.86s -> 837.22s]  Самому интересному моменту
[837.22s -> 838.22s]  Пятьдесят тысяч на кону
[838.22s -> 839.22s]  Вы слишком умные люди
[839.22s -> 840.22s]  Вы сохранили весь банк
[840.22s -> 841.22s]  Поэтому сейчас
[841.22s -> 842.22s]  Вы естественно
[842.22s -> 843.22s]  Будете играть в доту
[843.22s -> 844.22s]  Но не в простую доту
[844.22s -> 845.22s]  А в кастомку
[845.22s -> 846.22s]  Под названием
[846.22s -> 847.22s]  Hardcore Ninja
[847.22s -> 848.22s]  Коротко о правилах
[848.22s -> 849.22s]  Значит у вас есть
[849.22s -> 850.22s]  Только одна жизнь
[850.22s -> 851.22s]  А если
[851.22s -> 852.22s]  Противник попадает
[852.22s -> 853.22s]  В вас
[853.22s -> 854.22s]  Своим любым
[854.22s -> 855.22s]  Скиллом
[855.22s -> 856.22s]  Вы умираете
[856.22s -> 857.22s]  Соответственно
[857.22s -> 858.22s]  Кто первый
[858.22s -> 859.22s]  Наберет
[859.22s -> 860.22s]  Пятнадцать
[860.22s -> 861.22s]  Вы грели в жизни
[861.22s -> 862.22s]  Конечно в жизни
[862.22s -> 863.22s]  Кто первый
[863.22s -> 864.22s]  Наберет
[864.22s -> 865.22s]  Пятнадцать килов
[865.22s -> 866.22s]  Тот и молодец
[866.22s -> 867.22s]  И заберет
[867.22s -> 868.22s]  Пятьдесят тысяч рублей
[868.22s -> 869.22s]  Себе
[869.22s -> 870.22s]  Ну что вы готовы
[870.22s -> 871.22s]  Нет
[871.22s -> 872.22s]  Ну тогда
[872.22s -> 876.46s]  Садись
[876.46s -> 877.46s]  Ну что
[877.46s -> 878.46s]  Поехали
[878.46s -> 879.46s]  Поехали
[879.46s -> 880.46s]  А
[880.46s -> 881.46s]  Оно работает
[881.46s -> 882.46s]  Ооо
[882.46s -> 883.46s]  ***
[883.46s -> 884.46s]  Что-то лагает
[884.46s -> 885.46s]  Сука
[885.46s -> 886.46s]  Ковнище
[886.46s -> 887.46s]  Жив
[887.46s -> 888.46s]  Жив
[888.46s -> 892.69s]  Жив
[892.69s -> 893.69s]  Ой
[893.69s -> 894.69s]  Просто высушен
[894.69s -> 895.69s]  Ах ты
[895.69s -> 896.69s]  Ах ты
[896.69s -> 897.69s]  Козел
[897.69s -> 898.69s]  Офигенный
[898.69s -> 899.69s]  От тебя
[899.69s -> 900.69s]  Руга
[900.69s -> 901.69s]  А почему ты не умер
[901.69s -> 902.69s]  От первого
[902.69s -> 903.69s]  Этого
[903.69s -> 904.69s]  Я не понял
[904.69s -> 905.69s]  Сука
[905.69s -> 906.69s]  Я не знаю
[906.69s -> 907.69s]  Как это комментировать
[907.69s -> 908.69s]  А почему ты не умер
[908.69s -> 909.69s]  От кортика
[909.69s -> 910.69s]  Это вообще
[910.69s -> 911.69s]  Говно какое
[911.69s -> 912.69s]  Потому что я
[912.69s -> 913.69s]  Потому что я
[913.69s -> 914.69s]  Прожал
[914.69s -> 915.69s]  Дрюшку
[915.69s -> 916.69s]  Вэшку
[916.69s -> 917.69s]  Да я
[917.69s -> 918.69s]  Твою мать
[918.69s -> 919.69s]  Ооо
[919.69s -> 920.69s]  Офига себе
[920.69s -> 921.69s]  Размен размен
[921.69s -> 922.69s]  Дальше
[922.69s -> 923.69s]  Ехал дальше
[923.69s -> 926.69s]  Да ***** не те кнопки
[926.69s -> 927.69s]  Я не понял
[927.69s -> 928.69s]  Вообще раскладку
[928.69s -> 929.69s]  Да твою мать
[929.69s -> 930.69s]  Иди  сюда
[930.69s -> 931.69s]  Вот они
[931.69s -> 932.69s]  Душонки-то ваши
[932.69s -> 933.69s]  Комментаторы
[933.69s -> 934.69s]  Какие-то
[934.69s -> 935.69s]  Раскрылись
[935.69s -> 936.69s]  Наконец-то
[936.69s -> 937.69s]  Да конечно
[937.69s -> 938.69s]  За бабки идет
[938.69s -> 939.69s]  Не шуточная
[939.69s -> 940.69s]  Борьба
[940.69s -> 941.69s]  Сука
[941.69s -> 942.69s]  Ооо
[942.69s -> 943.69s]  Тиль ты ******
[943.69s -> 944.69s]  Надо это
[944.69s -> 945.69s]  Раскрываться
[945.69s -> 946.69s]  Раскрываться
[946.69s -> 947.69s]  Чего
[947.69s -> 948.69s]  Типа
[948.69s -> 949.69s]  Жесткая
[949.69s -> 950.69s]  Ну вообще-то
[950.69s -> 951.69s]  Главная тема в том
[951.69s -> 952.69s]  Что мы друг друга
[952.69s -> 953.69s]  Убиваем одновременно
[953.69s -> 954.69s]  И это проблема
[954.69s -> 955.69s]  Небольшая
[955.69s -> 956.69s]  Ах козел
[956.69s -> 957.69s]  Это счет 2-2
[957.69s -> 958.69s]  Из-за того
[958.69s -> 959.69s]  Что мы убиваем
[959.69s -> 960.69s]  Дай 4-4 счет
[960.69s -> 961.69s]  Бро
[961.69s -> 962.69s]  4-4
[962.69s -> 963.69s]  4-4
[963.69s -> 964.69s]  Мы до 15
[964.69s -> 965.69s]  Ну больше 15
[965.69s -> 966.69s]  Там только что
[966.69s -> 967.69s]  Было написано
[967.69s -> 968.69s]  Что счет 2-2
[968.69s -> 969.69s]  Ты ж маленькая
[969.69s -> 970.69s]  Скотина
[970.69s -> 971.69s]  Смотри
[971.69s -> 972.69s]  Счет 3-2
[972.69s -> 973.69s]  То есть если
[973.69s -> 974.69s]  Мы будем убивать
[974.69s -> 975.69s]  Почему 3-2
[975.69s -> 976.69s]  5-4
[976.69s -> 977.69s]  Вот общий
[977.69s -> 978.69s]  Да счет 3-2
[978.69s -> 979.69s]  Реально
[979.69s -> 980.69s]  Ааа
[980.69s -> 981.69s]  И так нечая работает
[981.69s -> 982.69s]  Слушай
[982.69s -> 983.69s]  Так мы можем
[983.69s -> 984.69s]  До бесконечности
[984.69s -> 985.69s]  Добиться
[985.69s -> 986.69s]  Да смысл
[986.69s -> 987.69s]  Как у меня
[987.69s -> 988.69s]  Я уже замахнулся
[988.69s -> 989.69s]  Он отменил
[989.69s -> 990.69s]  Ой
[990.69s -> 991.69s]  Пошел тиль
[991.69s -> 992.69s]  Пошел
[992.69s -> 993.69s]  Пошел
[993.69s -> 994.69s]  Крепкий
[994.69s -> 999.13s]  Я так хочу наложить
[999.13s -> 1000.13s]  На эту игру
[1000.13s -> 1001.13s]  Музыку из Банихила
[1001.13s -> 1010.69s]  Все у тебя в порядке
[1010.69s -> 1011.69s]  Братан
[1011.69s -> 1012.69s]  Все хорошо
[1012.69s -> 1020.26s]  Я устал сосать
[1020.26s -> 1021.26s]  Демона
[1021.26s -> 1022.26s]  Если что
[1022.26s -> 1023.26s]  Я бы эту фразу
[1023.26s -> 1026.60s]  Добавила бы
[1026.60s -> 1027.60s]  Я устал
[1027.60s -> 1028.60s]  Такой долгий
[1028.60s -> 1029.60s]  Я устал сосать
[1029.60s -> 1030.60s]  Да
[1030.60s -> 1031.60s]  Я устал сосать
[1031.60s -> 1032.60s]  У меня кстати скоро
[1032.60s -> 1033.60s]  Выйдет один бандал
[1033.60s -> 1034.60s]  Возможно
[1034.60s -> 1035.60s]  Я в тильте
[1035.60s -> 1036.60s]  Короче
[1036.60s -> 1037.60s]  Короче
[1037.60s -> 1038.60s]  У меня одна команда
[1038.60s -> 1039.60s]  Попросилась сделать бандал
[1039.60s -> 1040.60s]  И возможно он выйдет
[1040.60s -> 1041.60s]  К моменту
[1041.60s -> 1042.60s]  Когда она уже
[1042.60s -> 1043.60s]  Дизбанднется
[1043.60s -> 1044.60s]  Как эта команда называется
[1044.60s -> 1045.60s]  Из Криски
[1045.60s -> 1046.60s]  Фантастик 5
[1046.60s -> 1047.60s]  Угу
[1047.60s -> 1048.60s]  И это
[1048.60s -> 1049.60s]  И это
[1050.60s -> 1051.60s]  Ты это видел?
[1051.60s -> 1052.60s]  Да я там
[1052.60s -> 1053.60s]  Несколько
[1053.60s -> 1054.60s]  Да
[1054.60s -> 1055.60s]  Да
[1055.60s -> 1056.60s]  Все жестко
[1056.60s -> 1057.60s]  Залетело
[1057.60s -> 1058.60s]  Я несколько
[1058.60s -> 1059.60s]  Отправил
[1059.60s -> 1060.60s]  Какие-то
[1060.60s -> 1061.60s]  Нарезки там
[1061.60s -> 1062.60s]  Не знаю
[1062.60s -> 1063.60s]  Но мне кажется
[1063.60s -> 1064.60s]  Ничего не будет лучше
[1064.60s -> 1065.60s]  Чем Жекич
[1065.60s -> 1066.60s]  Придумал
[1066.60s -> 1067.60s]  Мне очень нравится
[1067.60s -> 1068.60s]  Из бангла
[1068.60s -> 1069.60s]  Нового фраза
[1069.60s -> 1070.60s]  Сюда
[1070.60s -> 1071.60s]  Сюда
[1071.60s -> 1072.60s]  Я переставил
[1072.60s -> 1073.60s]  Себе
[1073.60s -> 1074.60s]  Кночки
[1074.60s -> 1075.60s]  А знаешь кто
[1075.60s -> 1076.60s]  Описал фразу
[1076.60s -> 1077.60s]  Сюда
[1077.60s -> 1078.60s]  Это же девочка
[1078.60s -> 1079.60s]  Которая мне
[1079.60s -> 1080.60s]  В датаскопе написала
[1080.60s -> 1081.60s]  А да
[1081.60s -> 1082.60s]  Круто
[1082.60s -> 1083.60s]  Сюда
[1083.60s -> 1084.60s]  Сюда
[1084.60s -> 1085.60s]  Сюда
[1085.60s -> 1086.60s]  Лежать
[1086.60s -> 1087.60s]  Плюс сосать
[1087.60s -> 1088.60s]  Получается
[1088.60s -> 1089.60s]  Плюс мораль пошла
[1089.60s -> 1090.60s]  Плюс мораль пошла
[1090.60s -> 1091.60s]  С кобичек не пошла
[1091.60s -> 1092.60s]  Давай давай
[1092.60s -> 1093.60s]  Комбечную
[1093.60s -> 1094.60s]  Димас 50 тысяч
[1094.60s -> 1095.60s]  Сука
[1095.60s -> 1096.60s]  Это все равно
[1096.60s -> 1097.60s]  Приходит к тому
[1097.60s -> 1098.60s]  Что короче
[1098.60s -> 1099.60s]  Мы в упор
[1099.60s -> 1100.60s]  Стоим друг от друга
[1100.60s -> 1101.60s]  И долбим
[1101.60s -> 1102.60s]  И кто первый ударит
[1102.60s -> 1103.60s]  То ты
[1103.60s -> 1104.60s]  В конце концов
[1104.60s -> 1105.60s]  Ты в одном шаге
[1105.60s -> 1106.60s]  А тут состалого
[1106.60s -> 1107.60s]  В двух
[1107.60s -> 1108.60s]  Ты хочешь
[1108.60s -> 1109.60s]  До 16
[1109.60s -> 1110.60s]  Типа
[1110.60s -> 1111.60s]  Состань
[1111.60s -> 1112.60s]  Красавец
[1112.60s -> 1113.60s]  В смысле
[1113.60s -> 1114.60s]  У нас 12
[1114.60s -> 1115.60s]  Не у нас
[1115.60s -> 1116.60s]  Типа
[1116.60s -> 1117.60s]  Не не не
[1117.60s -> 1118.60s]  Вот здесь
[1118.60s -> 1119.60s]  12
[1119.60s -> 1120.60s]  12
[1120.60s -> 1121.60s]  Ладно
[1121.60s -> 1122.60s]  Хорошо
[1122.60s -> 1123.60s]  Погнали погнали
[1123.60s -> 1124.60s]  То есть Мэй заходит
[1124.60s -> 1125.60s]  За угол
[1125.60s -> 1126.60s]  Видит
[1126.60s -> 1127.60s]  Мэйла
[1127.60s -> 1128.60s]  Иди на
[1128.60s -> 1129.60s]  Получи
[1129.60s -> 1130.60s]  Сука
[1130.60s -> 1131.60s]  Грязные технологии
[1131.60s -> 1132.60s]  Будущего
[1132.60s -> 1133.60s]  Да видите
[1133.60s -> 1134.60s]  Да
[1134.60s -> 1135.60s]  Нет красиво красиво
[1135.60s -> 1136.60s]  Мэйл
[1136.60s -> 1137.60s]  На жрать
[1137.60s -> 1138.60s]  На жрать
[1138.60s -> 1139.60s]  Ну согласись
[1139.60s -> 1140.60s]  Интереснее
[1140.60s -> 1141.60s]  Чем доту
[1141.60s -> 1142.60s]  Комментировать
[1142.60s -> 1143.60s]  Да вообще
[1143.60s -> 1144.60s]  Ого
[1144.60s -> 1145.60s]  Блин
[1145.60s -> 1146.60s]  Не ну мне
[1146.60s -> 1147.60s]  Даже стыдно
[1147.60s -> 1148.60s]  Что я так
[1148.60s -> 1149.60s]  Сосужил
[1149.60s -> 1150.60s]  50 тысяч получается
[1150.60s -> 1151.60s]  Теперь уже не стыдно
[1151.60s -> 1152.60s]  Это
[1152.60s -> 1153.60s]  Это моя
[1153.60s -> 1154.60s]  Десятилетняя
[1154.60s -> 1155.60s]  Заплата
[1155.60s -> 1156.60s]  На рухабе
[1156.60s -> 1157.60s]  На развитие
[1157.60s -> 1160.30s]  Дотоскопа
[1160.30s -> 1161.30s]  На развитие
[1161.30s -> 1162.30s]  Дотоскопа
[1162.30s -> 1163.30s]  Ептыть
[1163.30s -> 1164.30s]  Ептыть
[1164.30s -> 1165.30s]  Пошел геймплей да
[1165.30s -> 1166.30s]  Димай
[1166.30s -> 1167.30s]  Схватай его
[1167.30s -> 1168.30s]  Я так просто не сдамся
[1168.30s -> 1169.30s]  Понял
[1169.30s -> 1170.30s]  Русские своих не бросают
[1170.30s -> 1171.30s]  Понял
[1171.30s -> 1172.30s]  Как пизжил джиди
[1172.30s -> 1173.30s]  Знаешь что, что с нами Богом
[1173.30s -> 1174.30s]  Россия
[1174.30s -> 1175.30s]  Россия
[1175.30s -> 1176.30s]  Это ГГ
[1176.30s -> 1177.30s]  7, сука
[1177.30s -> 1178.30s]  Комбейшная пошла
[1178.30s -> 1179.30s]  Два подряд
[1179.30s -> 1180.30s]  Мужчина
[1180.30s -> 1181.30s]  Ну *****
[1181.30s -> 1182.30s]  Смысленно
[1182.30s -> 1185.82s]  Я же нажал рефреш
[1185.82s -> 1186.82s]  Господи
[1186.82s -> 1187.82s]  Иисусе
[1187.82s -> 1188.82s]  Ладно
[1188.82s -> 1189.82s]  Димаш, ну ты отсосал как мужик
[1189.82s -> 1190.82s]  Да
[1190.82s -> 1191.82s]  Выкопан как мужчина
[1191.82s -> 1192.82s]  Выкопан как мужчина
[1192.82s -> 1193.82s]  Выкопан как мужчина
[1193.82s -> 1194.82s]  Выкопан как мужчина
[1194.82s -> 1195.82s]  Запотел
[1195.82s -> 1196.82s]  Запотел
[1196.82s -> 1197.82s]  Иди сюда
[1198.82s -> 1209.78s]  У меня один только вопрос
[1209.78s -> 1211.78s]  Почему Димас веселый и блаженный стоит
[1211.78s -> 1213.78s]  А Вовочка серьезный такой человек
[1213.78s -> 1214.78s]  Я всегда серьезный
[1214.78s -> 1216.78s]  То есть то, что три секунды назад орал
[1216.78s -> 1217.78s]  Сосать за компом
[1217.78s -> 1218.78s]  Ты эти
[1218.78s -> 1219.78s]  Я нет
[1219.78s -> 1220.78s]  Это было не я
[1220.78s -> 1221.78s]  Это было для поддержания
[1221.78s -> 1222.78s]  Морального духа команды
[1222.78s -> 1224.78s]  Ты инкарнация папича какая-то в тебя проникла
[1224.78s -> 1225.78s]  Ну что, друзья
[1225.78s -> 1226.78s]  Подошел к концу
[1226.78s -> 1227.78s]  Пиви Пинтернешнелл
[1227.78s -> 1228.78s]  Наш небольшой
[1228.78s -> 1229.78s]  И чемпионом мира
[1229.78s -> 1230.78s]  В дисциплине хардкор нинджеа
[1230.78s -> 1231.78s]  Становится
[1231.78s -> 1232.78s]  Ну что, Владимир
[1232.78s -> 1233.78s]  Ну что, Владимир
[1233.78s -> 1234.78s]  Ну что, Владимир
[1234.78s -> 1234.92s]  У
[1235.42s -> 1235.78s]  Спасибо
[1235.78s -> 1237.78s]  Эти пятьдесят миллионов тугриков
[1237.78s -> 1238.78s]  Отправляются к вам
[1238.78s -> 1241.46s]  Вы можете почитать свой чек
[1241.46s -> 1241.74s]  ПДА
[1255.98s -> 1256.58s]  Еще один
[1258.98s -> 1259.78s]  Это тоже
[1259.78s -> 1261.66s]  Правда
[1261.66s -> 1263.94s]  А,' gives S
[1263.94s -> 1265.94s]  Камбучо. Я пью камбучо, да.
[1265.94s -> 1266.44s]  Хорошо.
[1266.44s -> 1266.94s]  В огромных количествах.
[1266.94s -> 1269.94s]  А если бы Димас выиграл, конечно бы на Кравтуху спустился, получается.
[1269.94s -> 1270.94s]  Обязательно.
[1270.94s -> 1271.94s]  50-50.
[1271.94s -> 1274.94s]  Хорошо. Друзья, спасибо, что пришли. Надеюсь, что вам понравилось.
[1274.94s -> 1276.94s]  Да, отлично. Максимальное кайфово.
[1276.94s -> 1279.94s]  Можете как-то закончить, сказать что-то своим зрителям.
[1279.94s -> 1281.94s]  Привет всем фанатам.
[1283.94s -> 1284.94s]  Ну что, гейминг.
[1284.94s -> 1287.94s]  Надеюсь, что у вас у всех осталось хорошее настроение, как и у нас.
[1287.94s -> 1289.94s]  Вам понравилось. Спасибо большое, что посмотрели.
[1289.94s -> 1290.94s]  И увидимся.
[1292.94s -> 1293.44s]  Пока.
[1293.94s -> 1294.44s]  Пока.
